id,year,sport,medal_type
18234,1988,Bobsleigh Men's Two,Gold
18235,1988,Bobsleigh Men's Four,Bronze
18236,2004,Synchronized Swimming Women's Duet,Bronze
18237,2004,Synchronized Swimming Women's Team,Bronze
18238,1964,"Wrestling Men's Heavyweight, Greco-Roman",Gold
18239,1968,"Wrestling Men's Heavyweight, Greco-Roman",Gold
18240,1972,Football Men's Football,Silver
18241,2004,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
18242,2008,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
18243,1992,Football Men's Football,Silver
18244,2008,Athletics Men's Hammer Throw,Gold
18245,2012,Athletics Men's Hammer Throw,Silver
18246,2004,Water Polo Women's Water Polo,Silver
18247,1968,Athletics Women's High Jump,Bronze
18248,1980,Volleyball Women's Volleyball,Gold
18249,1956,Cross Country Skiing Women's 10 kilometres,Gold
18250,1956,Cross Country Skiing Women's 3 x 5 kilometres Relay,Silver
18251,1960,Cross Country Skiing Women's 10 kilometres,Silver
18252,1960,Cross Country Skiing Women's 3 x 5 kilometres Relay,Silver
18253,2000,Weightlifting Men's Middle-Heavyweight,Silver
18254,2008,Weightlifting Men's Middle-Heavyweight,Silver
18255,2000,"Canoeing Men's Canadian Doubles, Slalom",Silver
18256,1972,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
18257,1936,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
18258,1928,Ice Hockey Men's Ice Hockey,Bronze
18259,1968,Rowing Men's Coxed Pairs,Bronze
18260,1968,Rowing Men's Coxed Pairs,Bronze
18261,1900,Athletics Men's 60 metres,Gold
18262,1900,Athletics Men's 110 metres Hurdles,Gold
18263,1900,Athletics Men's 200 metres Hurdles,Gold
18264,1900,Athletics Men's Long Jump,Gold
18265,1996,Rowing Women's Coxless Pairs,Silver
18266,2000,Rowing Women's Coxless Pairs,Bronze
18267,2008,Football Women's Football,Bronze
18268,2016,Football Women's Football,Gold
18269,2000,Boxing Men's Light-Heavyweight,Silver
18270,2016,"Equestrianism Mixed Three-Day Event, Team",Silver
18271,1948,Rowing Men's Coxed Eights,Bronze
18272,1948,Rowing Men's Coxed Eights,Bronze
18273,1976,Gymnastics Women's Team All-Around,Bronze
18274,1980,Gymnastics Women's Team All-Around,Bronze
18275,1980,Gymnastics Women's Horse Vault,Silver
18276,1980,Gymnastics Women's Uneven Bars,Bronze
18277,1980,Hockey Women's Hockey,Silver
18278,1972,Handball Men's Handball,Silver
18279,1984,Ice Hockey Men's Ice Hockey,Silver
18280,1980,"Wrestling Men's Featherweight, Greco-Roman",Bronze
18281,1924,Football Men's Football,Silver
18282,1906,Tug-Of-War Men's Tug-Of-War,Gold
18283,2006,"Speed Skating Men's 5,000 metres",Silver
18284,2006,Speed Skating Men's Team Pursuit (8 laps),Bronze
18285,2010,"Speed Skating Men's 5,000 metres",Gold
18286,2010,Speed Skating Men's Team Pursuit (8 laps),Bronze
18287,2014,"Speed Skating Men's 5,000 metres",Gold
18288,2014,"Speed Skating Men's 10,000 metres",Silver
18289,2014,Speed Skating Men's Team Pursuit (8 laps),Gold
18290,2002,"Ski Jumping Men's Large Hill, Team",Bronze
18291,2016,Water Polo Men's Water Polo,Silver
18292,1992,Basketball Men's Basketball,Bronze
18293,1988,Volleyball Men's Volleyball,Silver
18294,1980,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
18295,1980,Swimming Men's 4 x 100 metres Medley Relay,Silver
18296,1972,Football Men's Football,Gold
18297,1980,Hockey Women's Hockey,Bronze
18298,1996,Boxing Men's Heavyweight,Bronze
18299,2004,Athletics Women's 4 x 400 metres Relay,Silver
18300,1980,"Cycling Men's Team Pursuit, 4,000 metres",Gold
18301,1972,Speed Skating Women's 500 metres,Silver
18302,1972,"Wrestling Men's Featherweight, Freestyle",Bronze
18303,1980,Athletics Women's 400 metres,Silver
18304,1976,Athletics Men's Decathlon,Silver
18305,2014,Curling Men's Curling,Bronze
18306,2002,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
18307,2006,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
18308,1968,Swimming Women's 4 x 100 metres Medley Relay,Bronze
18309,1980,Rowing Men's Coxed Eights,Gold
18310,1936,Athletics Women's 100 metres,Bronze
18311,2014,"Ski Jumping Men's Large Hill, Team",Gold
18312,1976,Swimming Men's 4 x 100 metres Medley Relay,Bronze
18313,1972,Hockey Men's Hockey,Gold
18314,1980,Swimming Women's 100 metres Freestyle,Gold
18315,1980,Swimming Women's 200 metres Freestyle,Gold
18316,1980,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
18317,1904,Gymnastics Men's Team All-Around,Bronze
18318,1904,Gymnastics Men's Rope Climbing,Silver
18319,1972,Athletics Women's 4 x 100 metres Relay,Gold
18320,1960,Canoeing Men's Kayak Relay 4 x 500 metres,Gold
18321,1972,Hockey Men's Hockey,Gold
18322,1968,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
18323,1976,Handball Women's Handball,Silver
18324,1980,Handball Women's Handball,Bronze
18325,1976,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
18326,1988,Luge Mixed (Men)'s Doubles,Silver
18327,1992,Luge Mixed (Men)'s Doubles,Gold
18328,1994,Luge Mixed (Men)'s Doubles,Bronze
18329,1998,Luge Mixed (Men)'s Doubles,Gold
18330,1998,Luge Women's Singles,Gold
18331,2002,Luge Women's Singles,Bronze
18332,2006,Luge Women's Singles,Silver
18333,2008,"Equestrianism Mixed Jumping, Team",Gold
18334,2008,Sailing Women's Three Person Keelboat,Bronze
18335,2016,"Fencing Women's Sabre, Team",Silver
18336,2008,Athletics Men's Decathlon,Silver
18337,1968,Volleyball Men's Volleyball,Gold
18338,1972,Volleyball Men's Volleyball,Bronze
18339,1964,Athletics Men's Triple Jump,Bronze
18340,1988,Ice Hockey Men's Ice Hockey,Gold
18341,1992,Ice Hockey Men's Ice Hockey,Gold
18342,1998,Ice Hockey Men's Ice Hockey,Silver
18343,2002,Ice Hockey Men's Ice Hockey,Bronze
18344,1992,"Fencing Men's epee, Team",Bronze
18345,1968,Rowing Men's Coxed Eights,Bronze
18346,1992,Athletics Women's Long Jump,Silver
18347,1996,Athletics Women's Triple Jump,Gold
18348,2004,Rowing Men's Quadruple Sculls,Gold
18349,1976,Handball Men's Handball,Gold
18350,1980,Handball Men's Handball,Silver
18351,1972,Weightlifting Men's Heavyweight,Silver
18352,1988,Volleyball Women's Volleyball,Gold
18353,2000,Swimming Men's 100 metres Backstroke,Gold
18354,2000,Swimming Men's 200 metres Backstroke,Gold
18355,2000,Swimming Men's 4 x 100 metres Medley Relay,Gold
18356,2004,Swimming Men's 4 x 100 metres Medley Relay,Gold
18357,1912,"Gymnastics Men's Team All-Around, Free System",Bronze
18358,1936,"Canoeing Men's Kayak Singles, 10,000 metres",Gold
18359,1928,Athletics Men's 4 x 400 metres Relay,Silver
18360,2008,Rowing Men's Coxed Eights,Gold
18361,1976,"Canoeing Women's Kayak Doubles, 500 metres",Gold
18362,1980,"Canoeing Women's Kayak Doubles, 500 metres",Silver
18363,2010,Nordic Combined Men's Team,Gold
18364,1976,Alpine Skiing Women's Giant Slalom,Gold
18365,2010,Snowboarding Women's Parallel Giant Slalom,Bronze
18366,1992,Nordic Combined Men's Team,Bronze
18367,1972,Football Men's Football,Bronze
18368,2016,Handball Men's Handball,Gold
18369,1936,Handball Men's Handball,Silver
18370,1968,Cycling Men's 100 kilometres Team Time Trial,Gold
18371,1996,Water Polo Men's Water Polo,Silver
18372,1988,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
18373,1936,"Shooting Men's Free Pistol, 50 metres",Silver
18374,1928,Bobsleigh Men's Four/Five,Bronze
18375,1968,Rowing Men's Coxed Fours,Silver
18376,1936,Football Men's Football,Silver
18377,1972,Handball Men's Handball,Silver
18378,2004,Softball Women's Softball,Gold
18379,2008,Softball Women's Softball,Silver
18380,2012,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
18381,2004,Handball Men's Handball,Silver
18382,1976,Handball Women's Handball,Silver
18383,1980,Handball Women's Handball,Bronze
18384,1936,Handball Men's Handball,Gold
18385,1900,Rugby Men's Rugby,Silver
18386,1912,Tennis Men's Singles,Bronze
18387,1956,Athletics Men's Triple Jump,Bronze
18388,1960,Athletics Men's Triple Jump,Bronze
18389,1936,"Art Competitions Mixed Music, Compositions For Orchestra",Bronze
18390,1976,Athletics Men's 4 x 400 metres Relay,Bronze
18391,2016,"Canoeing Women's Kayak Fours, 500 metres",Silver
18392,1996,Swimming Women's 100 metres Backstroke,Bronze
18393,1968,Basketball Men's Basketball,Bronze
18394,2000,Football Women's Football,Gold
18395,1980,Rowing Men's Coxed Fours,Silver
18396,1980,Rowing Men's Coxed Fours,Silver
18397,1964,"Fencing Men's epee, Individual",Gold
18398,1968,"Fencing Men's epee, Individual",Silver
18399,1968,"Fencing Men's epee, Team",Silver
18400,1972,"Fencing Men's epee, Team",Bronze
18401,2004,Rowing Men's Lightweight Coxless Fours,Gold
18402,2016,Handball Women's Handball,Bronze
18403,2012,"Cycling Men's Road Race, Individual",Bronze
18404,2014,Alpine Skiing Men's Slalom,Bronze
18405,1920,Sailing Mixed 8 metres,Gold
18406,1920,"Gymnastics Men's Team All-Around, Free System",Silver
18407,2000,Baseball Men's Baseball,Gold
18408,1992,Athletics Women's Shot Put,Gold
18409,1980,Water Polo Men's Water Polo,Silver
18410,1984,Water Polo Men's Water Polo,Gold
18411,1998,Ice Hockey Men's Ice Hockey,Silver
18412,1956,Athletics Men's Hammer Throw,Silver
18413,2012,Athletics Women's 4 x 400 metres Relay,Silver
18414,1996,Rhythmic Gymnastics Women's Group,Bronze
18415,1988,Volleyball Women's Volleyball,Gold
18416,2000,Handball Men's Handball,Gold
18417,2004,Handball Men's Handball,Bronze
18418,1924,Gymnastics Men's Horse Vault,Gold
18419,1912,Gymnastics Men's Team All-Around,Silver
18420,1980,Hockey Women's Hockey,Silver
18421,1988,Rowing Men's Coxless Fours,Silver
18422,2004,Judo Men's Half-Lightweight,Silver
18423,2016,Basketball Women's Basketball,Bronze
18424,1936,Speed Skating Men's 500 metres,Silver
18425,2014,"Nordic Combined Men's Normal Hill / 10 km, Individual",Bronze
18426,2014,Nordic Combined Men's Team,Gold
18427,1920,Figure Skating Men's Singles,Silver
18428,1912,Sailing Mixed 12 metres,Bronze
18429,1936,Sailing Mixed One Person Dinghy,Silver
18430,1976,Rowing Women's Coxed Fours,Bronze
18431,1924,"Equestrianism Men's Jumping, Individual",Bronze
18432,1988,Gymnastics Men's Team All-Around,Silver
18433,1988,Gymnastics Men's Horse Vault,Silver
18434,2008,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
18435,2012,Swimming Women's 50 metres Freestyle,Gold
18436,2012,Swimming Women's 100 metres Freestyle,Gold
18437,2012,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
18438,1992,Alpine Skiing Women's Slalom,Gold
18439,1992,Alpine Skiing Women's Combined,Gold
18440,1976,Athletics Women's 4 x 100 metres Relay,Silver
18441,1924,Curling Men's Curling,Silver
18442,1984,"Shooting Men's Air Rifle, 10 metres",Silver
18443,2006,Ice Hockey Men's Ice Hockey,Gold
18444,2014,Ice Hockey Men's Ice Hockey,Silver
18445,1972,Sailing Mixed Three Person Keelboat,Silver
18446,1998,Ice Hockey Women's Ice Hockey,Bronze
18447,1976,Water Polo Men's Water Polo,Bronze
18448,1980,Rowing Men's Double Sculls,Gold
18449,1976,"Fencing Men's Sabre, Individual",Gold
18450,1976,"Fencing Men's Sabre, Team",Gold
18451,1980,"Fencing Men's Sabre, Individual",Gold
18452,1980,"Fencing Men's Sabre, Team",Gold
18453,1900,Rowing Men's Coxed Fours,Bronze
18454,2016,Judo Men's Half-Heavyweight,Gold
18455,1956,Football Men's Football,Silver
18456,1980,Basketball Men's Basketball,Gold
18457,2016,Weightlifting Men's Bantamweight,Bronze
18458,1980,Athletics Women's 4 x 400 metres Relay,Silver
18459,1936,Water Polo Men's Water Polo,Silver
18460,1984,"Equestrianism Mixed Dressage, Team",Gold
18461,2000,Athletics Men's Discus Throw,Bronze
18462,2016,Hockey Women's Hockey,Bronze
18463,1980,Handball Men's Handball,Gold
18464,1980,Boxing Men's Welterweight,Bronze
18465,1980,Handball Women's Handball,Bronze
18466,1936,Athletics Women's Javelin Throw,Silver
18467,2014,Ice Hockey Men's Ice Hockey,Silver
18468,1960,Athletics Men's Javelin Throw,Silver
18469,2006,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
18470,1976,Biathlon Men's 20 kilometres,Gold
18471,1976,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
18472,2004,Athletics Women's 4 x 100 metres Relay,Silver
18473,1980,Swimming Women's 4 x 100 metres Medley Relay,Bronze
18474,1988,Hockey Men's Hockey,Bronze
18475,1948,Hockey Men's Hockey,Bronze
18476,1952,Hockey Men's Hockey,Silver
18477,1984,Hockey Men's Hockey,Silver
18478,1956,Basketball Men's Basketball,Silver
18479,1960,Basketball Men's Basketball,Silver
18480,1964,Basketball Men's Basketball,Silver
18481,2008,Water Polo Men's Water Polo,Silver
18482,2008,Modern Pentathlon Men's Individual,Silver
18483,1964,Volleyball Women's Volleyball,Bronze
18484,1968,Volleyball Women's Volleyball,Bronze
18485,2000,Swimming Men's 4 x 100 metres Medley Relay,Bronze
18486,2004,Swimming Men's 4 x 100 metres Medley Relay,Silver
18487,1968,Swimming Women's 800 metres Freestyle,Silver
18488,1912,"Cycling Men's Road Race, Team",Bronze
18489,1980,Ice Hockey Men's Ice Hockey,Silver
18490,1984,Ice Hockey Men's Ice Hockey,Gold
18491,1988,Ice Hockey Men's Ice Hockey,Gold
18492,1960,Diving Women's Platform,Bronze
18493,2004,Weightlifting Women's Light-Heavyweight,Silver
18494,1952,Basketball Men's Basketball,Silver
18495,1984,Synchronized Swimming Women's Duet,Silver
18496,1996,Athletics Men's Hammer Throw,Bronze
18497,1976,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
18498,1980,Swimming Men's 200 metres Freestyle,Silver
18499,1980,Swimming Men's 400 metres Freestyle,Silver
18500,1980,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
18501,1988,Athletics Men's 4 x 100 metres Relay,Gold
18502,1956,Ice Hockey Men's Ice Hockey,Gold
18503,1998,Figure Skating Mixed Ice Dancing,Silver
18504,1976,Rowing Women's Coxed Fours,Bronze
18505,1976,Gymnastics Men's Team All-Around,Silver
18506,1980,Rowing Men's Coxed Pairs,Silver
18507,2004,Gymnastics Women's Team All-Around,Bronze
18508,2010,Cross Country Skiing Men's Sprint,Gold
18509,2014,Cross Country Skiing Men's Team Sprint,Silver
18510,1996,Gymnastics Men's Team All-Around,Gold
18511,2000,Gymnastics Men's Team All-Around,Bronze
18512,1952,Rowing Men's Coxed Eights,Silver
18513,1980,Volleyball Men's Volleyball,Gold
18514,1956,Athletics Women's Long Jump,Gold
18515,1960,Athletics Women's Long Jump,Silver
18516,1992,"Fencing Men's Foil, Team",Bronze
18517,1996,"Fencing Men's Foil, Team",Silver
18518,1996,Water Polo Men's Water Polo,Silver
18519,1960,"Athletics Men's 3,000 metres Steeplechase",Gold
18520,1992,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
18521,1996,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
18522,2000,"Wrestling Men's Heavyweight, Freestyle",Bronze
18523,2016,Archery Men's Individual,Gold
18524,2016,Archery Men's Team,Gold
18525,1992,Baseball Men's Baseball,Silver
18526,1972,Football Men's Football,Silver
18527,2006,Ice Hockey Men's Ice Hockey,Bronze
18528,1976,Rowing Men's Coxed Fours,Bronze
18529,1960,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
18530,1980,Rowing Men's Coxed Fours,Bronze
18531,1964,Gymnastics Women's Team All-Around,Silver
18532,1968,Gymnastics Women's Team All-Around,Silver
18533,2006,Ice Hockey Men's Ice Hockey,Bronze
18534,1936,Hockey Men's Hockey,Silver
18535,1956,Gymnastics Men's Team All-Around,Silver
18536,1956,Gymnastics Men's Parallel Bars,Silver
18537,1956,Gymnastics Men's Rings,Bronze
18538,1998,Ice Hockey Men's Ice Hockey,Gold
18539,2016,Golf Men's Individual,Bronze
18540,2000,Rowing Men's Lightweight Double Sculls,Gold
18541,2004,Rowing Men's Lightweight Double Sculls,Gold
18542,1920,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
18543,1920,"Shooting Men's Military Rifle, Prone, 300 metres",Bronze
18544,1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
18545,1972,Weightlifting Men's Lightweight,Silver
18546,1956,Ice Hockey Men's Ice Hockey,Gold
18547,1960,Ice Hockey Men's Ice Hockey,Bronze
18548,1968,Gymnastics Women's Individual All-Around,Bronze
18549,1968,Gymnastics Women's Team All-Around,Gold
18550,1968,Gymnastics Women's Floor Exercise,Bronze
18551,1968,Gymnastics Women's Balance Beam,Gold
18552,1976,Handball Men's Handball,Bronze
18553,1928,Athletics Men's Shot Put,Gold
18554,2010,Speed Skating Men's Team Pursuit (8 laps),Silver
18555,1992,Handball Men's Handball,Gold
18556,2000,Handball Men's Handball,Gold
18557,2004,Handball Men's Handball,Bronze
18558,2016,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
18559,1976,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
18560,1972,Volleyball Women's Volleyball,Gold
18561,1948,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
18562,1952,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
18563,1992,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
18564,2016,Rhythmic Gymnastics Women's Individual,Silver
18565,2008,"Wrestling Men's Featherweight, Freestyle",Bronze
18566,2012,"Wrestling Men's Lightweight, Freestyle",Silver
18567,1956,Rowing Men's Coxed Eights,Silver
18568,1920,Diving Men's Springboard,Gold
18569,2012,Rowing Men's Coxed Eights,Gold
18570,2016,Rowing Men's Coxed Eights,Silver
18571,1992,Football Men's Football,Bronze
18572,1904,Tug-Of-War Men's Tug-Of-War,Bronze
18573,1904,"Weightlifting Men's Unlimited, Two Hands",Bronze
18574,1904,Weightlifting Men's All-Around Dumbbell Contest,Bronze
18575,1904,"Wrestling Men's Heavyweight, Freestyle",Silver
18576,1988,Swimming Men's 200 metres Individual Medley,Silver
18577,1932,Gymnastics Men's Club Swinging,Bronze
18578,2004,Hockey Women's Hockey,Gold
18579,1992,Bobsleigh Men's Four,Silver
18580,1988,Athletics Men's 4 x 400 metres Relay,Bronze
18581,1928,"Equestrianism Men's Jumping, Individual",Bronze
18582,1980,Football Men's Football,Silver
18583,2002,Bobsleigh Men's Four,Gold
18584,1952,Bobsleigh Men's Four,Gold
18585,2016,Handball Men's Handball,Bronze
18586,1960,Rowing Men's Coxed Eights,Silver
18587,1980,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
18588,1972,Athletics Women's 4 x 400 metres Relay,Gold
18589,1976,Ice Hockey Men's Ice Hockey,Bronze
18590,1992,Hockey Women's Hockey,Silver
18591,1964,Sailing Mixed One Person Dinghy,Gold
18592,1972,Sailing Mixed Two Person Keelboat,Bronze
18593,1972,"Cycling Men's Road Race, Individual",Gold
18594,1996,Hockey Women's Hockey,Bronze
18595,1920,Football Men's Football,Bronze
18596,2010,Speed Skating Men's Team Pursuit (8 laps),Bronze
18597,2006,Nordic Combined Men's Team,Bronze
